거래일시,적요,출금액,입금액,잔액,거래구분
2025.09.15 19:14:30,"시립전력공사",101780,,-1295880,입출금
2025.09.16 10:22:26,"레일링크 고속",20430,,-1316310,입출금
2025.09.16 20:13:19,"텔커넥트 모바일",72900,,-1389210,입출금
2025.09.16 21:23:55,"로스트웍스",7670,,-1396880,입출금
2025.09.17 08:16:45,"푸른왜가리커피  1147",12080,,-1408960,입출금
2025.09.17 10:56:52,"빠른택시 *운행",10310,,-1419270,입출금
2025.09.17 15:51:26,"아침숟가락",9730,,-1429000,입출금
2025.09.17 17:13:36,"타코거리",15780,,-1444780,입출금
2025.09.17 18:43:35,"클라우드네스트 200GB",4040,,-1448820,입출금
2025.09.18 20:05:02,"빠른택시",12740,,-1461560,입출금
2025.09.18 22:12:32,"은수저식당",64020,,-1525580,입출금
2025.09.19 08:08:17,"국수마당",49440,,-1575020,입출금
2025.09.19 19:11:33,"누리교통카드",7830,,-1582850,입출금
2025.09.20 22:57:42,"빠른택시 *운행",11800,,-1594650,입출금
2025.09.21 07:00:13,"좋은건강약국",61030,,-1655680,카드결제
2025.09.21 14:54:50,"찬장특급",172030,,-1827710,입출금
2025.09.21 16:27:06,"국수마당 온라인",23990,,-1851700,입출금
2025.09.21 20:44:50,"푸른왜가리커피",7650,,-1859350,입출금
2025.09.21 21:47:17,"프라임박스 멤버십",12140,,-1871490,입출금
2025.09.22 08:21:59,"초록들마트 느티나무점",28240,,-1899730,입출금
2025.09.22 12:04:30,"빠른택시 *운행",4000,,-1903730,입출금
2025.09.22 22:24:10,"은수저식당",43290,,-1947020,입출금
2025.09.23 15:59:47,"푸른왜가리커피  1147",7870,,-1954890,입출금
2025.09.23 17:11:55,"초록들마트 214호점",117230,,-2072120,입출금
2025.09.23 18:13:37,"푸른왜가리커피  1147",12140,,-2084260,입출금
2025.09.24 08:00:17,"데브포지 코파일럿",13500,,-2097760,입출금
2025.09.24 12:34:03,"도시락특급",25990,,-2123750,입출금
2025.09.24 20:07:09,"푸른왜가리커피",5870,,-2129620,입출금
2025.09.25 14:54:56,"초록들마트 느티나무점",96090,,-2225710,입출금
2025.09.25 17:21:59,"누리교통카드",7860,,-2233570,입출금
2025.09.25 18:16:00,"(주)머리디언소프트 급여",,6547500,4313930,입출금
2025.09.26 15:29:05,"타코거리",43230,,4270700,입출금
2025.09.26 16:54:37,"북문상회",28810,,4241890,입출금
2025.09.27 17:07:43,"로스트웍스",6480,,4235410,입출금
2025.09.27 22:32:32,"빠른택시",11650,,4223760,입출금
2025.09.28 15:03:02,"국수마당 온라인",63400,,4160360,입출금
2025.09.28 16:01:23,"빠른택시 *운행",12610,,4147750,입출금
2025.09.29 15:33:56,"빠른택시",3420,,4144330,입출금
2025.09.29 21:06:41,"피자칸티나",23750,,4120580,입출금
2025.09.30 14:15:58,"누리카드 충전",13960,,4106620,입출금
2025.09.30 16:09:01,"도시실타래 온라인",266650,,3839970,카드결제
2025.10.01 11:29:14,"월세 이체 J무어",2497500,,1342470,입출금
2025.10.01 17:36:55,"푸른왜가리커피",10330,,1332140,입출금
2025.10.01 18:21:19,"찬장특급",26200,,1305940,입출금
2025.10.01 21:12:16,"빠른택시 *운행",5980,,1299960,입출금
2025.10.02 11:38:44,"푸른왜가리커피",12350,,1287610,입출금
2025.10.02 12:05:22,"선류요가원",174150,,1113460,입출금
2025.10.03 08:20:19,"초록들마트",63570,,1049890,입출금
2025.10.03 09:23:26,"빠른택시 *운행",5090,,1044800,입출금
2025.10.03 21:01:45,"피자칸티나",24300,,1020500,입출금
2025.10.04 18:42:50,"초록들마트 214호점",148720,,871780,입출금
2025.10.04 21:36:57,"스트림리",21590,,850190,입출금
2025.10.05 07:41:27,"초록들마트",70590,,779600,입출금
2025.10.05 20:50:38,"타코거리",16560,,763040,입출금
2025.10.06 07:29:52,"레일링크 고속",15590,,747450,입출금
2025.10.06 17:11:23,"푸른왜가리커피 1147",8210,,739240,입출금
2025.10.06 19:29:24,"푸른왜가리커피 1147",4860,,734380,입출금
2025.10.07 13:02:14,"북문상회",162220,,572160,입출금
2025.10.07 19:53:47,"은수저식당",58100,,514060,입출금
2025.10.07 21:05:07,"로스트웍스",8280,,505780,입출금
2025.10.08 15:34:56,"북문상회",79660,,426120,입출금
2025.10.08 17:04:20,"푸른왜가리커피",5290,,420830,입출금
2025.10.09 07:22:58,"누리교통카드",15210,,405620,입출금
2025.10.09 09:35:19,"볼트백 프로 연간",13490,,392130,카드결제
2025.10.09 12:01:32,"도시락특급",20670,,371460,입출금
2025.10.10 09:33:37,"로스트웍스",11810,,359650,입출금
2025.10.10 14:10:09,"매일생활잡화",147760,,211890,카드결제
2025.10.10 15:29:45,"아침숟가락",5930,,205960,입출금
2025.10.10 17:00:30,"국수마당",50910,,155050,입출금
2025.10.10 17:04:52,"빠른택시",4940,,150110,입출금
2025.10.11 16:03:55,"튠박스 프리미엄",14840,,135270,입출금
2025.10.11 16:06:00,"빠른택시",15120,,120150,입출금
2025.10.12 18:22:24,"도시락특급",23540,,96610,입출금
2025.10.12 18:27:40,"푸른왜가리커피  1147",6220,,90390,입출금
2025.10.13 08:27:41,"누리카드 충전",11330,,79060,입출금
2025.10.14 12:07:13,"찬장특급",81570,,-2510,입출금
2025.10.14 12:52:51,"타코거리",24490,,-27000,입출금
2025.10.14 14:06:29,"누리교통카드",14960,,-41960,입출금
2025.10.15 09:00:35,"빠른택시 *운행",9790,,-51750,입출금
2025.10.15 16:34:15,"북부도시가스",151420,,-203170,입출금
2025.10.15 18:12:07,"아침숟가락",8170,,-211340,입출금
2025.10.15 19:39:58,"푸른왜가리커피 1147",11700,,-223040,입출금
2025.10.16 14:36:32,"텔커넥트 모바일",72900,,-295940,입출금
2025.10.16 15:13:08,"빠른택시 *운행",14110,,-310050,입출금
2025.10.16 18:22:00,"매일생활잡화",149620,,-459670,카드결제
2025.10.16 18:39:03,"국수마당 온라인",62650,,-522320,입출금
2025.10.17 09:43:09,"클라우드네스트 200GB",4040,,-526360,입출금
2025.10.17 11:54:28,"초록들마트 214호점",94690,,-621050,입출금
2025.10.17 13:58:29,"누리카드 충전",7380,,-628430,입출금
2025.10.17 15:36:22,"푸른왜가리커피",12060,,-640490,입출금
2025.10.17 22:44:51,"로스트웍스",8680,,-649170,입출금
2025.10.18 19:19:41,"도시락특급",53040,,-702210,입출금
2025.10.18 21:20:00,"레일링크 고속",5240,,-707450,입출금
2025.10.19 12:07:44,"푸른왜가리커피 1147",6300,,-713750,입출금
2025.10.19 13:41:27,"누리교통카드",16230,,-729980,입출금
2025.10.20 11:12:44,"빠른택시",12470,,-742450,입출금
2025.10.20 19:57:15,"로스트웍스",4700,,-747150,입출금
2025.10.21 15:10:56,"로스트웍스",4790,,-751940,입출금
2025.10.21 17:33:42,"국수마당 온라인",63810,,-815750,입출금
2025.10.21 21:39:01,"프라임박스 멤버십",12140,,-827890,입출금
2025.10.21 21:43:06,"누리카드 충전",17910,,-845800,입출금
2025.10.22 11:55:10,"도시락특급",29090,,-874890,입출금
2025.10.22 20:35:25,"누리카드 충전",11300,,-886190,입출금
2025.10.23 09:10:20,"누리교통카드",7600,,-893790,입출금
2025.10.23 16:42:21,"은수저식당",19660,,-913450,입출금
2025.10.23 19:48:04,"초록들마트 느티나무점",136660,,-1050110,입출금
2025.10.24 08:10:37,"로스트웍스",7200,,-1057310,입출금
2025.10.24 14:28:12,"누리교통카드",11880,,-1069190,입출금
2025.10.24 16:36:30,"데브포지 코파일럿",13500,,-1082690,입출금
2025.10.24 22:39:58,"도시락특급",31940,,-1114630,입출금
2025.10.25 09:15:21,"푸른왜가리커피  1147",10980,,-1125610,입출금
2025.10.25 09:47:13,"피자칸티나",56550,,-1182160,입출금
2025.10.25 10:06:39,"은수저식당",53850,,-1236010,카드결제
2025.10.25 13:31:10,"레일링크 고속",21020,,-1257030,입출금
2025.10.25 21:39:31,"(주)머리디언소프트 급여",,6547500,5290470,입출금
2025.10.26 08:21:13,"빠른택시",17730,,5272740,입출금
2025.10.26 14:58:03,"초록들마트 214호점",148260,,5124480,입출금
2025.10.27 21:32:57,"타코거리",50610,,5073870,입출금
2025.10.27 21:43:30,"빠른택시",15890,,5057980,입출금
2025.10.28 16:51:38,"푸른왜가리커피  1147",10580,,5047400,입출금
2025.10.28 19:50:05,"누리카드 충전",6680,,5040720,입출금
2025.10.29 08:30:56,"찬장특급",104180,,4936540,입출금
2025.10.29 13:33:52,"누리카드 충전",9440,,4927100,입출금
2025.10.29 21:56:33,"국수마당 온라인",55850,,4871250,입출금
2025.10.30 16:07:48,"누리카드 충전",11300,,4859950,입출금
2025.10.30 20:21:07,"푸른왜가리커피",7910,,4852040,입출금
2025.10.31 18:00:47,"픽셀앤페이퍼",46300,,4805740,카드결제
2025.11.01 07:45:05,"월세 이체 J무어",2497500,,2308240,입출금
2025.11.01 16:37:20,"은수저식당",22070,,2286170,입출금
2025.11.02 17:56:22,"선류요가원",174150,,2112020,입출금
2025.11.02 18:51:28,"누리교통카드",4360,,2107660,입출금
2025.11.02 20:58:53,"푸른왜가리커피 1147",8640,,2099020,입출금
2025.11.03 08:12:46,"빠른택시 *운행",15670,,2083350,입출금
2025.11.03 11:09:58,"초록들마트 214호점",47570,,2035780,입출금
2025.11.04 07:58:23,"타코거리",56380,,1979400,입출금
2025.11.04 09:38:46,"스트림리",21590,,1957810,입출금
2025.11.04 21:27:34,"푸른왜가리커피  1147",6160,,1951650,입출금
2025.11.05 14:34:09,"은수저식당",44290,,1907360,입출금
2025.11.05 20:31:06,"푸른왜가리커피  1147",9220,,1898140,입출금
2025.11.06 11:14:31,"도시락특급",42300,,1855840,입출금
2025.11.06 15:29:03,"빠른택시",8680,,1847160,입출금
2025.11.07 15:16:26,"타코거리",21210,,1825950,입출금
2025.11.07 17:16:19,"도시실타래",176200,,1649750,카드결제
2025.11.07 17:23:51,"누리카드 충전",12300,,1637450,입출금
2025.11.08 08:06:52,"좋은건강약국",96040,,1541410,카드결제
2025.11.08 08:24:43,"아침숟가락",10460,,1530950,입출금
2025.11.08 13:02:56,"푸른왜가리커피 1147",6880,,1524070,입출금
2025.11.08 18:32:02,"빠른택시",14270,,1509800,입출금
2025.11.09 07:10:41,"빠른택시",20320,,1489480,입출금
2025.11.09 08:47:01,"도시락특급",24390,,1465090,입출금
2025.11.09 08:48:55,"푸른왜가리커피  1147",5940,,1459150,입출금
2025.11.09 16:58:48,"볼트백 프로 연간",13490,,1445660,카드결제
2025.11.09 17:04:59,"푸른왜가리커피",11040,,1434620,입출금
2025.11.10 10:17:41,"아침숟가락",7940,,1426680,입출금
2025.11.11 07:27:24,"푸른왜가리커피  1147",8460,,1418220,입출금
2025.11.11 17:03:38,"튠박스 프리미엄",14840,,1403380,입출금
2025.11.11 17:11:32,"국수마당 온라인",59830,,1343550,입출금
2025.11.11 17:18:42,"누리카드 충전",19080,,1324470,입출금
2025.11.11 19:09:41,"푸른왜가리커피  1147",11030,,1313440,입출금
2025.11.12 17:39:12,"레일링크 고속",18330,,1295110,입출금
2025.11.12 19:16:53,"푸른왜가리커피  1147",7560,,1287550,입출금
2025.11.13 10:00:08,"빠른택시 *운행",5280,,1282270,입출금
2025.11.13 11:26:33,"푸른왜가리커피",6630,,1275640,입출금
2025.11.13 12:50:32,"북문상회",75960,,1199680,입출금
2025.11.14 11:20:36,"타코거리",51460,,1148220,입출금
2025.11.14 15:49:51,"아침숟가락",6670,,1141550,입출금
2025.11.14 17:48:46,"빠른택시",17350,,1124200,입출금
2025.11.15 09:07:35,"북문상회",166660,,957540,입출금
2025.11.15 09:07:49,"로스트웍스",8450,,949090,입출금
2025.11.15 12:03:31,"시립전력공사",137750,,811340,입출금
2025.11.15 18:39:19,"빠른택시",15110,,796230,입출금
2025.11.15 21:18:06,"로스트웍스",10650,,785580,입출금
2025.11.16 21:47:13,"텔커넥트 모바일",72900,,712680,입출금
2025.11.16 21:57:21,"빠른택시",6820,,705860,입출금
2025.11.17 09:07:54,"푸른왜가리커피",8600,,697260,입출금
2025.11.17 15:05:14,"푸른왜가리커피 1147",11720,,685540,입출금
2025.11.17 22:10:39,"누리카드 충전",17470,,668070,입출금
2025.11.17 22:29:44,"클라우드네스트 200GB",4040,,664030,입출금
2025.11.18 13:05:51,"국수마당",38230,,625800,입출금
2025.11.19 11:09:53,"아침숟가락",6330,,619470,입출금
2025.11.19 18:10:23,"빠른택시 *운행",4540,,614930,입출금
2025.11.19 20:01:31,"초록들마트",166020,,448910,입출금
2025.11.20 13:41:08,"빠른택시",19890,,429020,입출금
2025.11.20 15:59:41,"은수저식당",28320,,400700,입출금
2025.11.20 18:46:52,"초록들마트 214호점",135360,,265340,입출금
2025.11.21 15:26:42,"프라임박스 멤버십",12140,,253200,입출금
2025.11.21 17:52:43,"빠른택시",11450,,241750,입출금
2025.11.21 20:37:53,"도시락특급",36840,,204910,입출금
2025.11.21 20:54:05,"아침숟가락",8790,,196120,입출금
2025.11.22 13:56:38,"아침숟가락",5720,,190400,입출금
2025.11.22 14:34:55,"빠른택시",16770,,173630,입출금
2025.11.23 13:08:09,"누리교통카드",19100,,154530,입출금
2025.11.24 08:17:58,"도시락특급",53760,,100770,입출금
2025.11.24 08:41:13,"데브포지 코파일럿",13500,,87270,입출금
2025.11.24 09:56:48,"푸른왜가리커피 1147",9020,,78250,입출금
2025.11.24 18:23:12,"푸른왜가리커피",6620,,71630,입출금
2025.11.24 18:54:11,"누리교통카드",17090,,54540,입출금
2025.11.25 07:23:00,"(주)머리디언소프트 급여",,6547500,6602040,입출금
2025.11.25 08:18:42,"누리교통카드",16270,,6585770,입출금
2025.11.26 08:01:40,"빠른택시 *운행",13960,,6571810,입출금
2025.11.26 18:55:49,"아침숟가락",8590,,6563220,입출금
2025.11.27 13:09:56,"도시락특급",54240,,6508980,입출금
2025.11.27 14:02:37,"누리교통카드",11220,,6497760,입출금
2025.11.27 18:22:19,"초록들마트",85280,,6412480,입출금
2025.11.28 12:28:33,"푸른왜가리커피",11970,,6400510,입출금
2025.11.28 19:05:25,"빠른택시 *운행",11810,,6388700,입출금
2025.11.29 11:08:49,"레일링크 고속",6090,,6382610,입출금
2025.11.30 08:25:22,"누리카드 충전",21300,,6361310,입출금
2025.12.01 13:16:10,"빠른택시 *운행",8100,,6353210,입출금
2025.12.01 16:57:28,"월세 이체 J무어",2497500,,3855710,입출금
2025.12.01 18:55:19,"로스트웍스",8570,,3847140,입출금
2025.12.01 19:34:35,"푸른왜가리커피  1147",8750,,3838390,입출금
2025.12.02 07:45:55,"푸른왜가리커피  1147",9410,,3828980,입출금
2025.12.02 12:15:56,"선류요가원",174150,,3654830,입출금
2025.12.02 12:28:49,"누리카드 충전",5260,,3649570,입출금
2025.12.02 13:26:17,"국수마당",51680,,3597890,입출금
2025.12.03 07:26:08,"빠른택시 *운행",12380,,3585510,입출금
2025.12.03 17:32:38,"국수마당 온라인",28340,,3557170,입출금
2025.12.03 20:33:10,"푸른왜가리커피",11030,,3546140,입출금
2025.12.03 22:45:18,"초록들마트",120240,,3425900,입출금
2025.12.03 22:49:19,"노르드벨 홈",75780,,3350120,카드결제
2025.12.04 08:01:42,"누리카드 충전",9940,,3340180,입출금
2025.12.04 18:32:45,"스트림리",21590,,3318590,입출금
2025.12.05 18:34:17,"빠른택시",17810,,3300780,입출금
2025.12.05 20:12:54,"찬장특급",50530,,3250250,입출금
2025.12.06 07:52:59,"찬장특급",138860,,3111390,입출금
2025.12.06 08:41:28,"푸른왜가리커피 1147",10270,,3101120,입출금
2025.12.06 09:43:29,"타코거리",99450,,3001670,카드결제
2025.12.06 13:32:07,"국수마당",55580,,2946090,입출금
2025.12.06 19:09:15,"레일링크 고속",6800,,2939290,입출금
2025.12.07 08:26:48,"푸른왜가리커피 1147",9020,,2930270,입출금
2025.12.07 15:51:58,"빠른택시",10060,,2920210,입출금
2025.12.08 11:07:49,"누리카드 충전",12720,,2907490,입출금
2025.12.08 12:07:06,"아침숟가락",10170,,2897320,입출금
2025.12.08 19:54:42,"은수저식당",62220,,2835100,입출금
2025.12.09 09:10:13,"레일링크 고속",11960,,2823140,입출금
2025.12.09 11:33:20,"볼트백 프로 연간",13490,,2809650,카드결제
2025.12.09 16:58:08,"푸른왜가리커피  1147",7090,,2802560,입출금
2025.12.10 09:02:22,"은수저식당",51760,,2750800,입출금
2025.12.11 08:21:35,"도시락특급",32120,,2718680,입출금
2025.12.11 08:36:54,"튠박스 프리미엄",14840,,2703840,입출금
2025.12.11 12:18:28,"빠른택시 *운행",3790,,2700050,입출금
2025.12.12 17:08:10,"빠른택시",13040,,2687010,입출금
2025.12.12 21:20:31,"푸른왜가리커피 1147",5580,,2681430,입출금
2025.12.13 17:56:49,"피자칸티나",52960,,2628470,입출금
2025.12.13 18:53:54,"푸른왜가리커피",6170,,2622300,입출금
2025.12.14 08:28:36,"누리카드 충전",11490,,2610810,입출금
2025.12.14 10:54:57,"북문상회",174230,,2436580,입출금
2025.12.15 07:05:50,"시립전력공사",132890,,2303690,입출금
2025.12.16 08:30:35,"찬장특급",46470,,2257220,입출금
2025.12.16 08:31:55,"로스트웍스",6440,,2250780,입출금
2025.12.16 16:28:28,"빠른택시",17590,,2233190,입출금
2025.12.16 19:53:02,"텔커넥트 모바일",72900,,2160290,입출금
2025.12.16 20:49:33,"타코거리",57860,,2102430,입출금
2025.12.17 07:48:19,"누리교통카드",18180,,2084250,입출금
2025.12.17 07:52:16,"국수마당 온라인",26140,,2058110,입출금
2025.12.17 08:43:58,"클라우드네스트 200GB",4040,,2054070,입출금
2025.12.17 13:56:16,"로스트웍스",10260,,2043810,입출금
2025.12.18 13:36:14,"푸른왜가리커피 1147",7370,,2036440,입출금
2025.12.18 14:27:02,"레일링크 고속",17900,,2018540,입출금
2025.12.18 20:10:24,"도시락특급",63180,,1955360,입출금
2025.12.19 13:37:39,"레일링크 고속",8600,,1946760,입출금
2025.12.19 15:32:54,"푸른왜가리커피",4630,,1942130,입출금
2025.12.19 20:45:05,"북문상회",59320,,1882810,입출금
2025.12.20 09:38:56,"푸른왜가리커피",9670,,1873140,입출금
2025.12.20 19:16:25,"국수마당 온라인",32160,,1840980,입출금
2025.12.21 08:00:00,"프라임박스 멤버십",12140,,1828840,입출금
2025.12.21 15:08:47,"누리카드 충전",6950,,1821890,입출금
2025.12.22 14:20:57,"빠른택시 *운행",10500,,1811390,입출금
2025.12.22 21:52:54,"로스트웍스",7630,,1803760,입출금
2025.12.23 12:46:43,"푸른왜가리커피",6870,,1796890,입출금
2025.12.23 14:55:30,"북문상회",93410,,1703480,입출금
2025.12.23 17:24:35,"로스트웍스",5250,,1698230,입출금
2025.12.23 19:43:30,"은수저식당",62360,,1635870,입출금
2025.12.23 19:47:06,"누리교통카드",10560,,1625310,입출금
2025.12.24 10:54:28,"데브포지 코파일럿",13500,,1611810,입출금
2025.12.24 17:12:41,"초록들마트",556200,,1055610,입출금
2025.12.24 22:06:40,"누리교통카드",19360,,1036250,입출금
2025.12.24 22:22:54,"찬장특급",105870,,930380,입출금
2025.12.25 15:19:23,"은수저식당",30730,,899650,입출금
2025.12.25 20:08:03,"로스트웍스",11300,,888350,입출금
2025.12.25 20:45:29,"누리교통카드",17040,,871310,입출금
2025.12.25 22:27:10,"(주)머리디언소프트 급여",,6547500,7418810,입출금
2025.12.26 08:43:01,"푸른왜가리커피  1147",5680,,7413130,입출금
2025.12.26 20:05:02,"푸른왜가리커피  1147",7630,,7405500,입출금
2025.12.26 22:29:33,"레일링크 고속",17630,,7387870,입출금
2025.12.28 15:06:12,"도시락특급",50600,,7337270,입출금
2025.12.28 21:30:01,"초록들마트 214호점",65890,,7271380,입출금
2025.12.28 22:39:01,"로스트웍스",5430,,7265950,입출금
2025.12.29 11:30:25,"빠른택시",18090,,7247860,입출금
2025.12.29 15:35:38,"국수마당 온라인",16860,,7231000,입출금
2025.12.30 09:04:42,"빠른택시",15230,,7215770,입출금
2025.12.30 19:07:58,"노르드벨 홈",105960,,7109810,카드결제
2025.12.31 07:06:04,"푸른왜가리커피  1147",10480,,7099330,입출금
2025.12.31 10:34:08,"빠른택시",6910,,7092420,입출금
2026.01.01 10:54:25,"빠른택시 *운행",11330,,7081090,입출금
2026.01.01 16:24:39,"월세 이체 J무어",2497500,,4583590,입출금
2026.01.02 08:09:54,"초록들마트 느티나무점",121230,,4462360,입출금
2026.01.02 08:55:47,"누리교통카드",17010,,4445350,입출금
2026.01.02 13:16:51,"선류요가원",174150,,4271200,입출금
2026.01.02 19:26:22,"아침숟가락",5800,,4265400,입출금
2026.01.03 08:00:19,"아침숟가락",9100,,4256300,입출금
2026.01.03 08:26:45,"빠른택시 *운행",5170,,4251130,입출금
2026.01.03 17:49:27,"국수마당 온라인",16240,,4234890,입출금
2026.01.04 09:28:41,"아침숟가락",5350,,4229540,입출금
2026.01.04 13:30:15,"도시락특급",22500,,4207040,입출금
2026.01.04 17:03:01,"스트림리",21590,,4185450,입출금
2026.01.04 18:09:17,"초록들마트",118710,,4066740,입출금
2026.01.04 19:23:50,"푸른왜가리커피  1147",10080,,4056660,입출금
2026.01.04 20:26:45,"레일링크 고속",12030,,4044630,입출금
2026.01.05 16:03:40,"빠른택시 *운행",7680,,4036950,입출금
2026.01.05 16:43:12,"로스트웍스",10440,,4026510,입출금
2026.01.06 07:28:01,"푸른왜가리커피 1147",7070,,4019440,입출금
2026.01.06 11:03:05,"픽셀앤페이퍼",239450,,3779990,카드결제
2026.01.06 11:26:37,"도시락특급",17120,,3762870,입출금
2026.01.06 13:41:19,"푸른왜가리커피 1147",11470,,3751400,입출금
2026.01.06 21:38:27,"누리카드 충전",6130,,3745270,입출금
2026.01.07 20:31:30,"초록들마트 느티나무점",68000,,3677270,입출금
2026.01.08 14:30:11,"푸른왜가리커피  1147",9060,,3668210,입출금
2026.01.09 08:30:14,"도시락특급",30960,,3637250,입출금
2026.01.09 22:06:01,"볼트백 프로 연간",13490,,3623760,카드결제
2026.01.10 07:59:17,"좋은건강약국",26390,,3597370,카드결제
2026.01.10 10:35:18,"푸른왜가리커피  1147",9210,,3588160,입출금
2026.01.10 12:51:58,"도시실타래 온라인",280350,,3307810,카드결제
2026.01.10 13:56:08,"누리카드 충전",21550,,3286260,입출금
2026.01.11 08:14:22,"아침숟가락",11570,,3274690,입출금
2026.01.11 19:01:07,"초록들마트",74170,,3200520,입출금
2026.01.11 20:55:15,"튠박스 프리미엄",14840,,3185680,입출금
2026.01.12 11:03:40,"북문상회",53810,,3131870,입출금
2026.01.12 20:29:30,"누리교통카드",7480,,3124390,입출금
2026.01.14 13:31:11,"누리카드 충전",19560,,3104830,입출금
2026.01.15 07:43:04,"아쿠아웍스 수도",98580,,3006250,입출금
2026.01.15 14:34:46,"도시락특급",64580,,2941670,입출금
2026.01.15 15:08:37,"초록들마트 느티나무점",128990,,2812680,입출금
2026.01.15 20:08:58,"누리카드 충전",3740,,2808940,입출금
2026.01.15 22:23:50,"도시실타래",272070,,2536870,카드결제
2026.01.16 08:49:03,"아침숟가락",6030,,2530840,입출금
2026.01.16 14:34:52,"텔커넥트 모바일",72900,,2457940,입출금
2026.01.16 17:32:31,"누리카드 충전",21600,,2436340,입출금
2026.01.16 20:50:36,"초록들마트 느티나무점",33970,,2402370,입출금
2026.01.17 12:12:09,"누리교통카드",12070,,2390300,입출금
2026.01.17 20:44:51,"클라우드네스트 200GB",4040,,2386260,입출금
2026.01.18 12:18:22,"푸른왜가리커피  1147",8600,,2377660,입출금
2026.01.18 16:27:10,"빠른택시 *운행",21410,,2356250,입출금
2026.01.18 17:26:28,"푸른왜가리커피  1147",11910,,2344340,입출금
2026.01.19 20:05:20,"찬장특급",124970,,2219370,입출금
2026.01.20 16:00:59,"타코거리",57740,,2161630,입출금
2026.01.21 16:59:21,"프라임박스 멤버십",12140,,2149490,입출금
2026.01.21 17:47:49,"국수마당 온라인",24110,,2125380,입출금
2026.01.22 14:32:56,"푸른왜가리커피  1147",6630,,2118750,입출금
2026.01.22 19:16:02,"누리교통카드",5450,,2113300,입출금
2026.01.23 12:04:43,"빠른택시",16280,,2097020,입출금
2026.01.24 07:17:03,"도시락특급",63330,,2033690,카드결제
2026.01.24 15:59:53,"로스트웍스",5130,,2028560,입출금
2026.01.24 16:22:36,"아침숟가락",6180,,2022380,입출금
2026.01.24 20:33:57,"데브포지 코파일럿",13500,,2008880,입출금
2026.01.25 07:08:55,"푸른왜가리커피 1147",10110,,1998770,입출금
