Date,Description,Amount,Currency,Account
2025-09-21,"GOODHEALTH PHARMACY",-45.21,USD,"Horizon Rewards Card ****4417"
2025-09-21,"PANTRY EXPRESS",-127.43,USD,"Everyday Checking ****2210"
2025-09-21,"NOODLEYARD ONLINE",-17.77,USD,"Everyday Checking ****2210"
2025-09-21,"BLUE HERON COFFEE",-5.67,USD,"Everyday Checking ****2210"
2025-09-21,"PRIMEBOX MEMBERSHIP",-8.99,USD,"Everyday Checking ****2210"
2025-09-22,"Greenfield Market - Elm St",-20.92,USD,"Everyday Checking ****2210"
2025-09-22,"SWIFTCAB *TRIP",-2.96,USD,"Everyday Checking ****2210"
2025-09-22,"SILVER FORK BISTRO",-32.07,USD,"Everyday Checking ****2210"
2025-09-23,"BLUE HERON COFFEE  1147",-5.83,USD,"Everyday Checking ****2210"
2025-09-23,"GREENFIELD MKT #214",-86.84,USD,"Everyday Checking ****2210"
2025-09-23,"BLUE HERON COFFEE  1147",-8.99,USD,"Everyday Checking ****2210"
2025-09-24,"DEVFORGE COPILOT",-10.00,USD,"Everyday Checking ****2210"
2025-09-24,"BENTO BOX EXPRESS",-19.25,USD,"Everyday Checking ****2210"
2025-09-24,"BLUE HERON COFFEE",-4.35,USD,"Everyday Checking ****2210"
2025-09-25,"Greenfield Market - Elm St",-71.18,USD,"Everyday Checking ****2210"
2025-09-25,"METRO TRANSIT CARD",-5.82,USD,"Everyday Checking ****2210"
2025-09-25,"MERIDIAN SOFTWARE LTD PAYROLL",4850.00,USD,"Everyday Checking ****2210"
2025-09-26,"TAKO STREET KITCHEN",-32.02,USD,"Everyday Checking ****2210"
2025-09-26,"NORTHGATE GROCERS",-21.34,USD,"Everyday Checking ****2210"
2025-09-27,"ROASTWORKS ESPRESSO",-4.80,USD,"Everyday Checking ****2210"
2025-09-27,"SWIFT CAB",-8.63,USD,"Everyday Checking ****2210"
2025-09-28,"NOODLEYARD ONLINE",-46.96,USD,"Everyday Checking ****2210"
2025-09-28,"SWIFTCAB *TRIP",-9.34,USD,"Everyday Checking ****2210"
2025-09-29,"SWIFT CAB",-2.53,USD,"Everyday Checking ****2210"
2025-09-29,"PIZZA CANTINA",-17.59,USD,"Everyday Checking ****2210"
2025-09-30,"METROCARD RELOAD",-10.34,USD,"Everyday Checking ****2210"
2025-09-30,"URBAN THREAD ONLINE",-197.52,USD,"Horizon Rewards Card ****4417"
2025-10-01,"RENT TRANSFER - J MOORE",-1850.00,USD,"Everyday Checking ****2210"
2025-10-01,"BLUE HERON COFFEE",-7.65,USD,"Everyday Checking ****2210"
2025-10-01,"PANTRY EXPRESS",-19.41,USD,"Everyday Checking ****2210"
2025-10-01,"SWIFTCAB *TRIP",-4.43,USD,"Everyday Checking ****2210"
2025-10-02,"BLUE HERON COFFEE",-9.15,USD,"Everyday Checking ****2210"
2025-10-02,"ZENFLOW YOGA STUDIO",-129.00,USD,"Everyday Checking ****2210"
2025-10-03,"GREENFIELD MARKET",-47.09,USD,"Everyday Checking ****2210"
2025-10-03,"SWIFTCAB *TRIP",-3.77,USD,"Everyday Checking ****2210"
2025-10-03,"PIZZA CANTINA",-18.00,USD,"Everyday Checking ****2210"
2025-10-04,"GREENFIELD MKT #214",-110.16,USD,"Everyday Checking ****2210"
2025-10-04,"STREAMLY.COM",-15.99,USD,"Everyday Checking ****2210"
2025-10-05,"GREENFIELD MARKET",-52.29,USD,"Everyday Checking ****2210"
2025-10-05,"TAKO STREET KITCHEN",-12.27,USD,"Everyday Checking ****2210"
2025-10-06,"RAILLINK INTERCITY",-11.55,USD,"Everyday Checking ****2210"
2025-10-06,"BLUEHERON COFFEE #1147",-6.08,USD,"Everyday Checking ****2210"
2025-10-06,"BLUEHERON COFFEE #1147",-3.60,USD,"Everyday Checking ****2210"
2025-10-07,"NORTHGATE GROCERS",-120.16,USD,"Everyday Checking ****2210"
2025-10-07,"SILVER FORK BISTRO",-43.04,USD,"Everyday Checking ****2210"
2025-10-07,"ROASTWORKS ESPRESSO",-6.13,USD,"Everyday Checking ****2210"
2025-10-08,"NORTHGATE GROCERS",-59.01,USD,"Everyday Checking ****2210"
2025-10-08,"BLUE HERON COFFEE",-3.92,USD,"Everyday Checking ****2210"
2025-10-09,"METRO TRANSIT CARD",-11.27,USD,"Everyday Checking ****2210"
2025-10-09,"VAULTBACK PRO ANNUALSAVE",-9.99,USD,"Horizon Rewards Card ****4417"
2025-10-09,"BENTO BOX EXPRESS",-15.31,USD,"Everyday Checking ****2210"
2025-10-10,"ROASTWORKS ESPRESSO",-8.75,USD,"Everyday Checking ****2210"
2025-10-10,"DAILYGOODS DEPOT",-109.45,USD,"Horizon Rewards Card ****4417"
2025-10-10,"MORNING SPOON CAFE",-4.39,USD,"Everyday Checking ****2210"
2025-10-10,"NOODLE YARD",-37.71,USD,"Everyday Checking ****2210"
2025-10-10,"SWIFT CAB",-3.66,USD,"Everyday Checking ****2210"
2025-10-11,"TUNEBOX PREMIUM",-10.99,USD,"Everyday Checking ****2210"
2025-10-11,"SWIFT CAB",-11.20,USD,"Everyday Checking ****2210"
2025-10-12,"BENTO BOX EXPRESS",-17.44,USD,"Everyday Checking ****2210"
2025-10-12,"BLUE HERON COFFEE  1147",-4.61,USD,"Everyday Checking ****2210"
2025-10-13,"METROCARD RELOAD",-8.39,USD,"Everyday Checking ****2210"
2025-10-14,"PANTRY EXPRESS",-60.42,USD,"Everyday Checking ****2210"
2025-10-14,"TAKO STREET KITCHEN",-18.14,USD,"Everyday Checking ****2210"
2025-10-14,"METRO TRANSIT CARD",-11.08,USD,"Everyday Checking ****2210"
2025-10-15,"SWIFTCAB *TRIP",-7.25,USD,"Everyday Checking ****2210"
2025-10-15,"NORTHERN GAS UTILITY",-112.16,USD,"Everyday Checking ****2210"
2025-10-15,"MORNING SPOON CAFE",-6.05,USD,"Everyday Checking ****2210"
2025-10-15,"BLUEHERON COFFEE #1147",-8.67,USD,"Everyday Checking ****2210"
2025-10-16,"TELCONNECT MOBILE",-54.00,USD,"Everyday Checking ****2210"
2025-10-16,"SWIFTCAB *TRIP",-10.45,USD,"Everyday Checking ****2210"
2025-10-16,"DAILYGOODS DEPOT",-110.83,USD,"Horizon Rewards Card ****4417"
2025-10-16,"NOODLEYARD ONLINE",-46.41,USD,"Everyday Checking ****2210"
2025-10-17,"CLOUDNEST STORAGE 200GB",-2.99,USD,"Everyday Checking ****2210"
2025-10-17,"GREENFIELD MKT #214",-70.14,USD,"Everyday Checking ****2210"
2025-10-17,"METROCARD RELOAD",-5.47,USD,"Everyday Checking ****2210"
2025-10-17,"BLUE HERON COFFEE",-8.93,USD,"Everyday Checking ****2210"
2025-10-17,"ROASTWORKS ESPRESSO",-6.43,USD,"Everyday Checking ****2210"
2025-10-18,"BENTO BOX EXPRESS",-39.29,USD,"Everyday Checking ****2210"
2025-10-18,"RAILLINK INTERCITY",-3.88,USD,"Everyday Checking ****2210"
2025-10-19,"BLUEHERON COFFEE #1147",-4.67,USD,"Everyday Checking ****2210"
2025-10-19,"METRO TRANSIT CARD",-12.02,USD,"Everyday Checking ****2210"
2025-10-20,"SWIFT CAB",-9.24,USD,"Everyday Checking ****2210"
2025-10-20,"ROASTWORKS ESPRESSO",-3.48,USD,"Everyday Checking ****2210"
2025-10-21,"ROASTWORKS ESPRESSO",-3.55,USD,"Everyday Checking ****2210"
2025-10-21,"NOODLEYARD ONLINE",-47.27,USD,"Everyday Checking ****2210"
2025-10-21,"PRIMEBOX MEMBERSHIP",-8.99,USD,"Everyday Checking ****2210"
2025-10-21,"METROCARD RELOAD",-13.27,USD,"Everyday Checking ****2210"
2025-10-22,"BENTO BOX EXPRESS",-21.55,USD,"Everyday Checking ****2210"
2025-10-22,"METROCARD RELOAD",-8.37,USD,"Everyday Checking ****2210"
2025-10-23,"METRO TRANSIT CARD",-5.63,USD,"Everyday Checking ****2210"
2025-10-23,"SILVER FORK BISTRO",-14.56,USD,"Everyday Checking ****2210"
2025-10-23,"Greenfield Market - Elm St",-101.23,USD,"Everyday Checking ****2210"
2025-10-24,"ROASTWORKS ESPRESSO",-5.33,USD,"Everyday Checking ****2210"
2025-10-24,"METRO TRANSIT CARD",-8.80,USD,"Everyday Checking ****2210"
2025-10-24,"DEVFORGE COPILOT",-10.00,USD,"Everyday Checking ****2210"
2025-10-24,"BENTO BOX EXPRESS",-23.66,USD,"Everyday Checking ****2210"
2025-10-25,"BLUE HERON COFFEE  1147",-8.13,USD,"Everyday Checking ****2210"
2025-10-25,"PIZZA CANTINA",-41.89,USD,"Everyday Checking ****2210"
2025-10-25,"SILVER FORK BISTRO",-39.89,USD,"Horizon Rewards Card ****4417"
2025-10-25,"RAILLINK INTERCITY",-15.57,USD,"Everyday Checking ****2210"
2025-10-25,"MERIDIAN SOFTWARE LTD PAYROLL",4850.00,USD,"Everyday Checking ****2210"
2025-10-26,"SWIFT CAB",-13.13,USD,"Everyday Checking ****2210"
2025-10-26,"GREENFIELD MKT #214",-109.82,USD,"Everyday Checking ****2210"
2025-10-27,"TAKO STREET KITCHEN",-37.49,USD,"Everyday Checking ****2210"
2025-10-27,"SWIFT CAB",-11.77,USD,"Everyday Checking ****2210"
2025-10-28,"BLUE HERON COFFEE  1147",-7.84,USD,"Everyday Checking ****2210"
2025-10-28,"METROCARD RELOAD",-4.95,USD,"Everyday Checking ****2210"
2025-10-29,"PANTRY EXPRESS",-77.17,USD,"Everyday Checking ****2210"
2025-10-29,"METROCARD RELOAD",-6.99,USD,"Everyday Checking ****2210"
2025-10-29,"NOODLEYARD ONLINE",-41.37,USD,"Everyday Checking ****2210"
2025-10-30,"METROCARD RELOAD",-8.37,USD,"Everyday Checking ****2210"
2025-10-30,"BLUE HERON COFFEE",-5.86,USD,"Everyday Checking ****2210"
2025-10-31,"PIXEL AND PAPER",-34.30,USD,"Horizon Rewards Card ****4417"
2025-11-01,"RENT TRANSFER - J MOORE",-1850.00,USD,"Everyday Checking ****2210"
2025-11-01,"SILVER FORK BISTRO",-16.35,USD,"Everyday Checking ****2210"
2025-11-02,"ZENFLOW YOGA STUDIO",-129.00,USD,"Everyday Checking ****2210"
2025-11-02,"METRO TRANSIT CARD",-3.23,USD,"Everyday Checking ****2210"
2025-11-02,"BLUEHERON COFFEE #1147",-6.40,USD,"Everyday Checking ****2210"
2025-11-03,"SWIFTCAB *TRIP",-11.61,USD,"Everyday Checking ****2210"
2025-11-03,"GREENFIELD MKT #214",-35.24,USD,"Everyday Checking ****2210"
2025-11-04,"TAKO STREET KITCHEN",-41.76,USD,"Everyday Checking ****2210"
2025-11-04,"STREAMLY.COM",-15.99,USD,"Everyday Checking ****2210"
2025-11-04,"BLUE HERON COFFEE  1147",-4.56,USD,"Everyday Checking ****2210"
2025-11-05,"SILVER FORK BISTRO",-32.81,USD,"Everyday Checking ****2210"
2025-11-05,"BLUE HERON COFFEE  1147",-6.83,USD,"Everyday Checking ****2210"
2025-11-06,"BENTO BOX EXPRESS",-31.33,USD,"Everyday Checking ****2210"
2025-11-06,"SWIFT CAB",-6.43,USD,"Everyday Checking ****2210"
2025-11-07,"TAKO STREET KITCHEN",-15.71,USD,"Everyday Checking ****2210"
2025-11-07,"URBANTHREAD",-130.52,USD,"Horizon Rewards Card ****4417"
2025-11-07,"METROCARD RELOAD",-9.11,USD,"Everyday Checking ****2210"
2025-11-08,"GOODHEALTH PHARMACY",-71.14,USD,"Horizon Rewards Card ****4417"
2025-11-08,"MORNING SPOON CAFE",-7.75,USD,"Everyday Checking ****2210"
2025-11-08,"BLUEHERON COFFEE #1147",-5.10,USD,"Everyday Checking ****2210"
2025-11-08,"SWIFT CAB",-10.57,USD,"Everyday Checking ****2210"
2025-11-09,"SWIFT CAB",-15.05,USD,"Everyday Checking ****2210"
2025-11-09,"BENTO BOX EXPRESS",-18.07,USD,"Everyday Checking ****2210"
2025-11-09,"BLUE HERON COFFEE  1147",-4.40,USD,"Everyday Checking ****2210"
2025-11-09,"VAULTBACK PRO ANNUALSAVE",-9.99,USD,"Horizon Rewards Card ****4417"
2025-11-09,"BLUE HERON COFFEE",-8.18,USD,"Everyday Checking ****2210"
2025-11-10,"MORNING SPOON CAFE",-5.88,USD,"Everyday Checking ****2210"
2025-11-11,"BLUE HERON COFFEE  1147",-6.27,USD,"Everyday Checking ****2210"
2025-11-11,"TUNEBOX PREMIUM",-10.99,USD,"Everyday Checking ****2210"
2025-11-11,"NOODLEYARD ONLINE",-44.32,USD,"Everyday Checking ****2210"
2025-11-11,"METROCARD RELOAD",-14.13,USD,"Everyday Checking ****2210"
2025-11-11,"BLUE HERON COFFEE  1147",-8.17,USD,"Everyday Checking ****2210"
2025-11-12,"RAILLINK INTERCITY",-13.58,USD,"Everyday Checking ****2210"
2025-11-12,"BLUE HERON COFFEE  1147",-5.60,USD,"Everyday Checking ****2210"
2025-11-13,"SWIFTCAB *TRIP",-3.91,USD,"Everyday Checking ****2210"
2025-11-13,"BLUE HERON COFFEE",-4.91,USD,"Everyday Checking ****2210"
2025-11-13,"NORTHGATE GROCERS",-56.27,USD,"Everyday Checking ****2210"
2025-11-14,"TAKO STREET KITCHEN",-38.12,USD,"Everyday Checking ****2210"
2025-11-14,"MORNING SPOON CAFE",-4.94,USD,"Everyday Checking ****2210"
2025-11-14,"SWIFT CAB",-12.85,USD,"Everyday Checking ****2210"
2025-11-15,"NORTHGATE GROCERS",-123.45,USD,"Everyday Checking ****2210"
2025-11-15,"ROASTWORKS ESPRESSO",-6.26,USD,"Everyday Checking ****2210"
2025-11-15,"CITY POWER AND LIGHT",-102.04,USD,"Everyday Checking ****2210"
2025-11-15,"SWIFT CAB",-11.19,USD,"Everyday Checking ****2210"
2025-11-15,"ROASTWORKS ESPRESSO",-7.89,USD,"Everyday Checking ****2210"
2025-11-16,"TELCONNECT MOBILE",-54.00,USD,"Everyday Checking ****2210"
2025-11-16,"SWIFT CAB",-5.05,USD,"Everyday Checking ****2210"
2025-11-17,"BLUE HERON COFFEE",-6.37,USD,"Everyday Checking ****2210"
2025-11-17,"BLUEHERON COFFEE #1147",-8.68,USD,"Everyday Checking ****2210"
2025-11-17,"METROCARD RELOAD",-12.94,USD,"Everyday Checking ****2210"
2025-11-17,"CLOUDNEST STORAGE 200GB",-2.99,USD,"Everyday Checking ****2210"
2025-11-18,"NOODLE YARD",-28.32,USD,"Everyday Checking ****2210"
2025-11-19,"MORNING SPOON CAFE",-4.69,USD,"Everyday Checking ****2210"
2025-11-19,"SWIFTCAB *TRIP",-3.36,USD,"Everyday Checking ****2210"
2025-11-19,"GREENFIELD MARKET",-122.98,USD,"Everyday Checking ****2210"
2025-11-20,"SWIFT CAB",-14.73,USD,"Everyday Checking ****2210"
2025-11-20,"SILVER FORK BISTRO",-20.98,USD,"Everyday Checking ****2210"
2025-11-20,"GREENFIELD MKT #214",-100.27,USD,"Everyday Checking ****2210"
2025-11-21,"PRIMEBOX MEMBERSHIP",-8.99,USD,"Everyday Checking ****2210"
2025-11-21,"SWIFT CAB",-8.48,USD,"Everyday Checking ****2210"
2025-11-21,"BENTO BOX EXPRESS",-27.29,USD,"Everyday Checking ****2210"
2025-11-21,"MORNING SPOON CAFE",-6.51,USD,"Everyday Checking ****2210"
2025-11-22,"MORNING SPOON CAFE",-4.24,USD,"Everyday Checking ****2210"
2025-11-22,"SWIFT CAB",-12.42,USD,"Everyday Checking ****2210"
2025-11-23,"METRO TRANSIT CARD",-14.15,USD,"Everyday Checking ****2210"
2025-11-24,"BENTO BOX EXPRESS",-39.82,USD,"Everyday Checking ****2210"
2025-11-24,"DEVFORGE COPILOT",-10.00,USD,"Everyday Checking ****2210"
2025-11-24,"BLUEHERON COFFEE #1147",-6.68,USD,"Everyday Checking ****2210"
2025-11-24,"BLUE HERON COFFEE",-4.90,USD,"Everyday Checking ****2210"
2025-11-24,"METRO TRANSIT CARD",-12.66,USD,"Everyday Checking ****2210"
2025-11-25,"MERIDIAN SOFTWARE LTD PAYROLL",4850.00,USD,"Everyday Checking ****2210"
2025-11-25,"METRO TRANSIT CARD",-12.05,USD,"Everyday Checking ****2210"
2025-11-26,"SWIFTCAB *TRIP",-10.34,USD,"Everyday Checking ****2210"
2025-11-26,"MORNING SPOON CAFE",-6.36,USD,"Everyday Checking ****2210"
2025-11-27,"BENTO BOX EXPRESS",-40.18,USD,"Everyday Checking ****2210"
2025-11-27,"METRO TRANSIT CARD",-8.31,USD,"Everyday Checking ****2210"
2025-11-27,"GREENFIELD MARKET",-63.17,USD,"Everyday Checking ****2210"
2025-11-28,"BLUE HERON COFFEE",-8.87,USD,"Everyday Checking ****2210"
2025-11-28,"SWIFTCAB *TRIP",-8.75,USD,"Everyday Checking ****2210"
2025-11-29,"RAILLINK INTERCITY",-4.51,USD,"Everyday Checking ****2210"
2025-11-30,"METROCARD RELOAD",-15.78,USD,"Everyday Checking ****2210"
2025-12-01,"SWIFTCAB *TRIP",-6.00,USD,"Everyday Checking ****2210"
2025-12-01,"RENT TRANSFER - J MOORE",-1850.00,USD,"Everyday Checking ****2210"
2025-12-01,"ROASTWORKS ESPRESSO",-6.35,USD,"Everyday Checking ****2210"
2025-12-01,"BLUE HERON COFFEE  1147",-6.48,USD,"Everyday Checking ****2210"
2025-12-02,"BLUE HERON COFFEE  1147",-6.97,USD,"Everyday Checking ****2210"
2025-12-02,"ZENFLOW YOGA STUDIO",-129.00,USD,"Everyday Checking ****2210"
2025-12-02,"METROCARD RELOAD",-3.90,USD,"Everyday Checking ****2210"
2025-12-02,"NOODLE YARD",-38.28,USD,"Everyday Checking ****2210"
2025-12-03,"SWIFTCAB *TRIP",-9.17,USD,"Everyday Checking ****2210"
2025-12-03,"NOODLEYARD ONLINE",-20.99,USD,"Everyday Checking ****2210"
2025-12-03,"BLUE HERON COFFEE",-8.17,USD,"Everyday Checking ****2210"
2025-12-03,"GREENFIELD MARKET",-89.07,USD,"Everyday Checking ****2210"
2025-12-03,"NORDVELL HOME",-56.13,USD,"Horizon Rewards Card ****4417"
2025-12-04,"METROCARD RELOAD",-7.36,USD,"Everyday Checking ****2210"
2025-12-04,"STREAMLY.COM",-15.99,USD,"Everyday Checking ****2210"
2025-12-05,"SWIFT CAB",-13.19,USD,"Everyday Checking ****2210"
2025-12-05,"PANTRY EXPRESS",-37.43,USD,"Everyday Checking ****2210"
2025-12-06,"PANTRY EXPRESS",-102.86,USD,"Everyday Checking ****2210"
2025-12-06,"BLUEHERON COFFEE #1147",-7.61,USD,"Everyday Checking ****2210"
2025-12-06,"TAKO STREET KITCHEN",-73.67,USD,"Horizon Rewards Card ****4417"
2025-12-06,"NOODLE YARD",-41.17,USD,"Everyday Checking ****2210"
2025-12-06,"RAILLINK INTERCITY",-5.04,USD,"Everyday Checking ****2210"
2025-12-07,"BLUEHERON COFFEE #1147",-6.68,USD,"Everyday Checking ****2210"
2025-12-07,"SWIFT CAB",-7.45,USD,"Everyday Checking ****2210"
2025-12-08,"METROCARD RELOAD",-9.42,USD,"Everyday Checking ****2210"
2025-12-08,"MORNING SPOON CAFE",-7.53,USD,"Everyday Checking ****2210"
2025-12-08,"SILVER FORK BISTRO",-46.09,USD,"Everyday Checking ****2210"
2025-12-09,"RAILLINK INTERCITY",-8.86,USD,"Everyday Checking ****2210"
2025-12-09,"VAULTBACK PRO ANNUALSAVE",-9.99,USD,"Horizon Rewards Card ****4417"
2025-12-09,"BLUE HERON COFFEE  1147",-5.25,USD,"Everyday Checking ****2210"
2025-12-10,"SILVER FORK BISTRO",-38.34,USD,"Everyday Checking ****2210"
2025-12-11,"BENTO BOX EXPRESS",-23.79,USD,"Everyday Checking ****2210"
2025-12-11,"TUNEBOX PREMIUM",-10.99,USD,"Everyday Checking ****2210"
2025-12-11,"SWIFTCAB *TRIP",-2.81,USD,"Everyday Checking ****2210"
2025-12-12,"SWIFT CAB",-9.66,USD,"Everyday Checking ****2210"
2025-12-12,"BLUEHERON COFFEE #1147",-4.13,USD,"Everyday Checking ****2210"
2025-12-13,"PIZZA CANTINA",-39.23,USD,"Everyday Checking ****2210"
2025-12-13,"BLUE HERON COFFEE",-4.57,USD,"Everyday Checking ****2210"
2025-12-14,"METROCARD RELOAD",-8.51,USD,"Everyday Checking ****2210"
2025-12-14,"NORTHGATE GROCERS",-129.06,USD,"Everyday Checking ****2210"
2025-12-15,"CITY POWER AND LIGHT",-98.44,USD,"Everyday Checking ****2210"
2025-12-16,"PANTRY EXPRESS",-34.42,USD,"Everyday Checking ****2210"
2025-12-16,"ROASTWORKS ESPRESSO",-4.77,USD,"Everyday Checking ****2210"
2025-12-16,"SWIFT CAB",-13.03,USD,"Everyday Checking ****2210"
2025-12-16,"TELCONNECT MOBILE",-54.00,USD,"Everyday Checking ****2210"
2025-12-16,"TAKO STREET KITCHEN",-42.86,USD,"Everyday Checking ****2210"
2025-12-17,"METRO TRANSIT CARD",-13.47,USD,"Everyday Checking ****2210"
2025-12-17,"NOODLEYARD ONLINE",-19.36,USD,"Everyday Checking ****2210"
2025-12-17,"CLOUDNEST STORAGE 200GB",-2.99,USD,"Everyday Checking ****2210"
2025-12-17,"ROASTWORKS ESPRESSO",-7.60,USD,"Everyday Checking ****2210"
2025-12-18,"BLUEHERON COFFEE #1147",-5.46,USD,"Everyday Checking ****2210"
2025-12-18,"RAILLINK INTERCITY",-13.26,USD,"Everyday Checking ****2210"
2025-12-18,"BENTO BOX EXPRESS",-46.80,USD,"Everyday Checking ****2210"
2025-12-19,"RAILLINK INTERCITY",-6.37,USD,"Everyday Checking ****2210"
2025-12-19,"BLUE HERON COFFEE",-3.43,USD,"Everyday Checking ****2210"
2025-12-19,"NORTHGATE GROCERS",-43.94,USD,"Everyday Checking ****2210"
2025-12-20,"BLUE HERON COFFEE",-7.16,USD,"Everyday Checking ****2210"
2025-12-20,"NOODLEYARD ONLINE",-23.82,USD,"Everyday Checking ****2210"
2025-12-21,"PRIMEBOX MEMBERSHIP",-8.99,USD,"Everyday Checking ****2210"
2025-12-21,"METROCARD RELOAD",-5.15,USD,"Everyday Checking ****2210"
2025-12-22,"SWIFTCAB *TRIP",-7.78,USD,"Everyday Checking ****2210"
2025-12-22,"ROASTWORKS ESPRESSO",-5.65,USD,"Everyday Checking ****2210"
2025-12-23,"BLUE HERON COFFEE",-5.09,USD,"Everyday Checking ****2210"
2025-12-23,"NORTHGATE GROCERS",-69.19,USD,"Everyday Checking ****2210"
2025-12-23,"ROASTWORKS ESPRESSO",-3.89,USD,"Everyday Checking ****2210"
